"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\routes\post.routes.ts", "TypeScript", 5, 0, 0, 5
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\routes\upload.routes.ts", "TypeScript", 1, 0, 0, 1
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\routes\user.routes.ts", "TypeScript", 5, -1, 1, 5
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\schema\friendRequest.schema.ts", "TypeScript", -3, 0, 0, -3
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\server.ts", "TypeScript", 19, 2, 1, 22
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\services\auth.service.ts", "TypeScript", 0, 0, 1, 1
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\services\comment.service.ts", "TypeScript", 0, 4, 1, 5
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\services\friendRequest.service.ts", "TypeScript", 4, 0, 0, 4
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\services\group.service.ts", "TypeScript", 38, 1, 12, 51
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\services\groupJoinRequest.service.ts", "TypeScript", 15, 0, 3, 18
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\services\post.service.ts", "TypeScript", 16, 16, 2, 34
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\services\user.service.ts", "TypeScript", 47, 6, 10, 63
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\types\api.types.ts", "TypeScript", 1, 0, 0, 1
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\types\group.types.ts", "TypeScript", 4, 1, 1, 6
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\types\post.types.ts", "TypeScript", -1, 0, 0, -1
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\types\user.types.ts", "TypeScript", 3, 1, 1, 5
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\types\util.types.ts", "TypeScript", 4, 0, 1, 5
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\zmock-data\fake-data.ts", "TypeScript", 14, 7, 7, 28
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\zmock-data\helper.ts", "TypeScript", 14, 1, 4, 19
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\zmock-data\mockComments.ts", "TypeScript", 54, 6, 12, 72
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\zmock-data\mockGroups.ts", "TypeScript", 39, 4, 6, 49
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\zmock-data\mockPosts.ts", "TypeScript", 53, 8, 9, 70
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\zmock-data\mockReactions.ts", "TypeScript", 96, 7, 17, 120
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\zmock-data\mockUsers.ts", "TypeScript", 42, 6, 8, 56
"Total", "-", 661, 33, 117, 811
